fea0,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,fea19,label
0.00823111225976303,0.7814363116091516,0.2601637445097477,0.22781993262794065,0.41247713038859024,0.0380908518519506,0.7781677700644257,0.9182789951842945,0.034593166912243345,0.9651862014567256,0.8548027382318666,0.7003347162253031,0.7201617131557674,0.9215484774444662,0.6474609518964398,0.7858655687878029,0.25044990815430257,0.021550229430350232,0.7130493181729236,0.977793773658515,0.7083469190877929
0.2523781970593759,0.8856818927695361,0.8911726601986946,0.088106695997205,0.1669665366575499,0.03772956445396236,0.8201441815104079,0.5909217662355191,0.04378031983276842,0.5262261533275461,0.17855428890288905,0.1226612040310714,0.3544304414145576,0.4731588199271316,0.23953615575721746,0.5820916556246816,0.7823842089880474,0.5764260937732866,0.7345479316339456,0.4975006677289312,0.5224453378113528
0.5539044945940812,0.9736406398821928,0.2356693767231841,0.004842022387828049,0.6961408493874772,0.7624848867523023,0.031263841144608666,0.4562846148301936,0.6076898529410601,0.28328606079155794,0.7385769813574407,0.14818808431037056,0.4678171420213684,0.19444799961816595,0.8174045775702319,0.21984219679496564,0.0657023972433386,0.05940375772686257,0.16522087631386295,0.2998608147979381,0.8200060536678907
0.055817070159495774,0.03014477017678185,0.31234759565630893,0.0639708161045619,0.6455963131193341,0.3554965364447179,0.6542713652437584,0.439518872348672,0.22761372473511154,0.14717713501828178,0.7562233896954187,0.7229249058089996,0.8305229895023708,0.5530927725317191,0.916378323662693,0.3861395614055845,0.5965994620091463,0.6701762300099364,0.9815411545669368,0.24387802765465996,0.9856186902934732
0.9077433433318643,0.9853269626872476,0.91601371142626,0.017654003834165155,0.18423506060743688,0.8205423620101783,0.5007099200407787,0.01986480693154047,0.5015382537851846,0.2951726019787664,0.6378986795221924,0.8161929757833593,0.37268904135838005,0.5904346735051805,0.67903045330811,0.5115763624611241,0.5149667529597345,0.7050975270159158,0.4397215447959204,0.26794559674284196,0.3778246691694933
0.8195664800898325,0.09302953603527453,0.08278922243865218,0.4156282113499148,0.8536198698053649,0.4528879413132764,0.03666152039680981,0.6381483225150617,0.34705084614954484,0.7368056235797908,0.7593971764606422,0.6518860782293777,0.05444242433483026,0.10777577209634603,0.8736379563825899,0.43706649899745975,0.1725946662844957,0.12549644832479268,0.6760530949220168,0.4608902312516446,0.7842272054228517
0.8798161487743437,0.6237760442811122,0.7485979293786977,0.8220455427842916,0.5848921407450769,0.8276607961029027,0.6096616148066333,0.3066660553466061,0.8598631525073253,0.10165187900250017,0.8629960922185961,0.4053131423328013,0.8741988855775631,0.7176267476495228,0.1029223588502407,0.7612130857896576,0.5265999718969435,0.22416476506972086,0.9910669407436948,0.96191446641304,0.8697446743867624
0.9110333735815828,0.4655707940645303,0.8114476662596287,0.8898784141286339,0.06641932347042145,0.0976981972526888,0.2770910501144236,0.5488219230521383,0.4747111722607479,0.13735176034730434,0.11598618595536235,0.4814271112315788,0.5773929265785641,0.9774210682700084,0.010635212382132608,0.7657714891311912,0.5723675130639119,0.8298441135878275,0.9540504219781252,0.3456965854024102,0.5992705040548599
0.0745333181896396,0.4152885002223541,0.4045380220718085,0.7468292534143636,0.4999681828438886,0.9936969404276126,0.16852645768302066,0.8053034327296319,0.3779532606951957,0.1785157201692935,0.2001693754766528,0.2295583095397068,0.4434259782562573,0.6921538840517503,0.5478985098865133,0.5118753890934079,0.16447673006577826,0.5458890727739982,0.7392214243659605,0.6724697695776809,0.3931111089640907
0.4169907486197524,0.17101804012419808,0.12695241853892825,0.9138139711088441,0.24041824284699745,0.8309360234742799,0.2623630723820727,0.21988148979004007,0.7097589845069732,0.3644912347192555,0.0009156339247875511,0.1550634502309034,0.19589432677144006,0.3562356486783248,0.2391852604012291,0.4293381776448607,0.13015024932190733,0.6183175723314399,0.7698416863910482,0.7556086263975286,0.6186095691283033
